1182,STO Express,China,$39.15 B,$-1.41 B,$29.45 B,$1.92 B
1189,Bank of Changsha,China,$5.66 B,$941.9 M,$121.72 B,$4.83 B
1193,Kuaishou Technology,China,$12.58 B,$-12.05 B,$14.52 B,$32.25 B
1194,BBMG,China,$18.91 B,$454 M,$44.93 B,$1.73 B
1195,Suning.com,China,$28.6 B,$-1.9 B,$32.44 B,$4.71 B
1202,Jiangsu Yanghe Brewery,China,$3.06 B,$1.15 B,$8.71 B,$32.79 B
1216,Inner Mongolia Baotou Steel,China,$13.21 B,$444.5 M,$23.22 B,$14.12 B
1224,Shanghai Electric Group,China,$19.89 B,$-1.56 B,$31.74 B,$8.21 B
1240,Datang International Power,China,$15.84 B,$-1.67 B,$46.46 B,$3.02 B
1246,Bank Of Guiyang,China,$4.72 B,$923.1 M,$92.4 B,$3.56 B
1251,Guangzhou R&F,China,$12.41 B,$-1.38 B,$63.68 B,$1.4 B
1253,Shanxi Xinghuacun Fen Wine Factory,China,$2.62 B,$844.6 M,$4.07 B,$48.91 B
1256,Wuchan Zhongda Group,China,$87.29 B,$393.5 M,$20.38 B,$3.94 B
1264,Midea Real Estate Holding,China,$11.54 B,$580 M,$45.27 B,$2.39 B
1268,Chongqing Changan Auto,China,$15.96 B,$435 M,$20.41 B,$12.15 B
1271,New Hope Liuhe,China,$19.87 B,$-1.01 B,$20.33 B,$10.38 B
1272,Sichuan Road & Bridge,China,$13.12 B,$865.5 M,$21.5 B,$6.87 B
1275,Jiangsu Hengrui Medicine,China,$4.35 B,$964.4 M,$6.03 B,$32.32 B
1278,Dongguan Rural Commercial Bank,China,$3.81 B,$867 M,$93.12 B,$6.72 B
1283,Wuxi Apptec,China,$3.55 B,$790.7 M,$8.65 B,$49.71 B
1288,Goertek,China,$12.09 B,$662.8 M,$9.58 B,$15.78 B
1299,HBIS,China,$15.51 B,$246 M,$39.2 B,$3.87 B
1301,China Fortune Land Development,China,$10.44 B,$-2.62 B,$72.07 B,$1.88 B
1313,China Three Gorges Renewables (Group),China,$1.64 B,$520 M,$30.41 B,$24.53 B
1321,DiDi Global,China,$26.95 B,$-7.64 B,$24.01 B,$7.49 B
1333,Huadian Power International,China,$15.5 B,$-602.1 M,$34.89 B,$3.27 B
1334,NARI Technology Development,China,$6.36 B,$844.4 M,$10.69 B,$22.89 B
1338,Guangzhou Rural Commercial Bank,China,$7.24 B,$490.2 M,$182.26 B,$3.53 B
1345,ENN Natural Gas,China,$17.89 B,$636 M,$20.07 B,$7.04 B
1353,Xinjiang Daqo New Energy,China,$2.68 B,$1.47 B,$4.53 B,$16.01 B
1367,Zoomlion Heavy Industry,China,$10.4 B,$974.9 M,$19.14 B,$5.35 B
1369,XCMG Construction Machinery,China,$13.03 B,$870.6 M,$17.26 B,$6.23 B
1370,Powerlong Real Estate,China,$6.2 B,$927.8 M,$38.45 B,$1.34 B
1378,Shengjing Bank,China,$6.91 B,$61.2 M,$157.96 B,$6.73 B
1383,SDIC Power Holdings,China,$6.3 B,$578.6 M,$37.31 B,$11.24 B
1385,Shanxi Taigang Stainless,China,$15.67 B,$978.3 M,$10.61 B,$5.87 B
1387,Zhongliang Holdings,China,$11.81 B,$419 M,$41.92 B,$968 M
